gene,log2FC,pval
79092.0,-0.850821295612926,7.042385070210517e-06
5653.0,0.8290508279791307,1.259858930830438e-05
4255.0,-0.825666435541509,1.3766911445083461e-05
5317.0,0.8061453297122927,2.2756295217735288e-05
1381.0,0.8036884100080275,2.4216314583845223e-05
3868.0,0.7976679398939106,2.8174193206118376e-05
5164.0,-0.7970893673675581,2.8584932757365825e-05
282679.0,-0.7963685123333338,2.9104539541868514e-05
2166.0,-0.7951094254081781,3.0033420461928216e-05
5252.0,-0.7838598832914287,3.965797627632588e-05
