Hugo_Symbol,count
PIK3CA,1122
TP53,897
AHNAK2,859
MUC16,666
SYNE1,468
KMT2C,389
MAP3K1,372
AHNAK,327
GATA3,301
DNAH11,300
DNAH2,283
MLL2,281
HERC2,278
CDH1,254
USH2A,246
RYR2,241
DNAH5,241
NOTCH1,216
PDE4DIP,212
COL6A3,194
TG,193
BIRC6,186
AKAP9,182
NCOR2,180
UTRN,176
ARID1A,171
LAMA2,164
TBX3,161
COL12A1,150
STAB2,143
SHANK2,137
COL22A1,136
THADA,129
NF1,125
MYH9,125
ATR,118
NCOR1,117
CBFB,116
AKT1,115
ARID1B,114
EP300,112
PTEN,110
SETD1A,107
ROS1,105
PTPRD,105
LAMB3,103
SETD2,100
RUNX1,98
ALK,98
ERBB2,98
MLLT4,95
FANCA,92
SF3B1,92
THSD7A,91
UBR5,90
MAP2K4,86
USP9X,86
MYO3A,85
GPR124,84
PTPRM,82
PIK3R1,81
TAF1,80
ERBB3,80
APC,79
ASXL1,79
CTCF,76
GLDC,75
FANCD2,75
MYO1A,74
ARID2,74
AFF2,70
EGFR,68
USP28,68
RB1,67
L1CAM,66
BRCA2,64
CTNNA3,63
CHD1,63
RPGR,62
ASXL2,62
PBRM1,62
NCOA3,61
JAK1,61
SIK1,60
KDM6A,58
ARID5B,57
LIFR,56
FOXO3,56
MAP3K10,56
BRCA1,55
KDM3A,53
SMARCC2,52
ERBB4,52
PRKCQ,51
CACNA2D3,50
SETDB1,49
SBNO1,47
BAP1,47
PALLD,45
SMARCC1,44
FAM20C,44
FOXO1,43
AGMO,43
DCAF4L2,43
CASP8,42
FLT3,42
NEK1,41
HDAC9,40
NPNT,39
SIK2,39
MEN1,39
LARGE,38
BCAS3,38
SMAD4,38
BRIP1,38
GPS2,37
MAP3K13,36
CTNNA1,35
CDKN1B,35
STK11,34
ZFP36L1,33
TTYH1,32
PRKCZ,32
GPR32,32
FBXW7,31
PRKCE,30
PRKG1,29
PTPN22,29
FOXP1,28
NRG3,28
OR6A2,28
GH1,25
CHEK2,25
TAF4B,25
FRMD3,24
CLRN2,23
AKT2,23
BRAF,23
CDKN2A,22
CLK3,22
NT5E,22
PRKACG,22
PPP2R2A,21
MAGEA8,21
DTWD2,21
ACVRL1,20
NF2,20
HIST1H2BC,18
PRR16,18
LIPI,18
NR3C1,18
LDLRAP1,17
TBL1XR1,17
MBL2,15
SPACA1,15
CCND3,15
AGTR2,14
KRAS,14
MTAP,14
SGCD,12
RASGEF1B,11
NR2F1,10
SMARCD1,10
SMAD2,10
PRPS2,8
KLRG1,7
HRAS,7
SIAH1,6
SMARCB1,5
NDFIP1,5
PPP2CB,5
STMN2,3
NRAS,3
